film,budget,box_office_us_canada,box_office_other,box_office_worldwide
Toy Story,30000000,223000000,171000000,394000000
A Bug's Life,120000000,163000000,200000000,363000000
Toy Story 2,90000000,246000000,266000000,511000000
"Monsters, Inc.",115000000,256000000,273000000,529000000
Finding Nemo,94000000,340000000,531000000,871000000
The Incredibles,92000000,261000000,370000000,631000000
Cars,120000000,244000000,218000000,462000000
Ratatouille,150000000,206000000,417000000,624000000
WALL-E,180000000,224000000,298000000,521000000
Up,175000000,293000000,442000000,735000000
Toy Story 3,200000000,415000000,652000000,1070000000
Cars 2,200000000,191000000,368000000,560000000
Brave,185000000,237000000,302000000,539000000
Monsters University,200000000,268000000,475000000,744000000
Inside Out,175000000,356000000,501000000,858000000
The Good Dinosaur,175000000,123000000,209000000,332000000
Finding Dory,200000000,486000000,542000000,1030000000
Cars 3,175000000,153000000,231000000,384000000
Coco,175000000,210000000,604000000,815000000
Incredibles 2,200000000,609000000,634000000,1240000000
Toy Story 4,200000000,434000000,639000000,1070000000
Onward,175000000,61555145,80384897,142000000
Soul,150000000,946154,121000000,122000000
Luca,NA,1324302,49788012,51112314
Turning Red,175000000,1399001,20414357,21813358
Lightyear,200000000,118000000,108000000,226000000
Elemental,200000000,154000000,342000000,496000000
Inside Out 2,200000000,653000000,1050000000,1700000000
